2025-09-17 00:09:31.697 [http-nio-0.0.0.0-8080-exec-3] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Request][2025-09-17 00:09:31] GET /api/teams/2/players | Headers: host=192.168.1.6:8080, connection=keep-alive, accept=application/json, text/plain, */*, user-agent=Expo/1017754 CFNetwork/3826.500.111.2.2 Darwin/24.4.0, accept-language=en-GB,en-US;q=0.9,en;q=0.8, accept-encoding=gzip, deflate
2025-09-17 00:09:31.712 [http-nio-0.0.0.0-8080-exec-3] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 00:09:31] GET /api/teams/2/players | Status: 200 | Duration: 15ms
2025-09-17 00:09:31.713 [http-nio-0.0.0.0-8080-exec-3] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 00:09:31] Body: [Response body too large - 1039 chars]
2025-09-17 00:09:33.782 [http-nio-0.0.0.0-8080-exec-4] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Request][2025-09-17 00:09:33] GET /api/players | Headers: host=192.168.1.6:8080, connection=keep-alive, accept=application/json, text/plain, */*, user-agent=Expo/1017754 CFNetwork/3826.500.111.2.2 Darwin/24.4.0, accept-language=en-GB,en-US;q=0.9,en;q=0.8, accept-encoding=gzip, deflate
2025-09-17 00:09:33.817 [http-nio-0.0.0.0-8080-exec-4] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 00:09:33] GET /api/players | Status: 200 | Duration: 36ms
2025-09-17 00:09:33.817 [http-nio-0.0.0.0-8080-exec-4] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 00:09:33] Body: [Response body too large - 6708 chars]
2025-09-17 00:10:10.582 [http-nio-0.0.0.0-8080-exec-7] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Request][2025-09-17 00:10:10] POST /api/auth/login | Headers: host=192.168.1.6:8080, content-type=application/json, connection=keep-alive, accept=application/json, text/plain, */*, user-agent=Expo/1017754 CFNetwork/3826.500.111.2.2 Darwin/24.4.0, content-length=61, accept-language=en-GB,en-US;q=0.9,en;q=0.8, accept-encoding=gzip, deflate
2025-09-17 00:10:10.760 [http-nio-0.0.0.0-8080-exec-7] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 00:10:10] POST /api/auth/login | Status: 200 | Duration: 178ms
2025-09-17 00:10:10.760 [http-nio-0.0.0.0-8080-exec-7] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 00:10:10] Body: {"user":{"email":"test1@example.com","username":"test1","role":"USER","id":2},"token":"***"}
2025-09-17 00:10:12.867 [http-nio-0.0.0.0-8080-exec-8] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Request][2025-09-17 00:10:12] GET /api/players | Headers: host=192.168.1.6:8080, connection=keep-alive, accept=application/json, text/plain, */*, user-agent=Expo/1017754 CFNetwork/3826.500.111.2.2 Darwin/24.4.0, accept-language=en-GB,en-US;q=0.9,en;q=0.8, accept-encoding=gzip, deflate
2025-09-17 00:10:12.894 [http-nio-0.0.0.0-8080-exec-8] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 00:10:12] GET /api/players | Status: 200 | Duration: 27ms
2025-09-17 00:10:12.894 [http-nio-0.0.0.0-8080-exec-8] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 00:10:12] Body: [Response body too large - 6708 chars]
2025-09-17 00:10:19.502 [http-nio-0.0.0.0-8080-exec-10] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Request][2025-09-17 00:10:19] GET /api/teams/2/players | Headers: host=192.168.1.6:8080, connection=keep-alive, accept=application/json, text/plain, */*, user-agent=Expo/1017754 CFNetwork/3826.500.111.2.2 Darwin/24.4.0, accept-language=en-GB,en-US;q=0.9,en;q=0.8, accept-encoding=gzip, deflate
2025-09-17 00:10:19.511 [http-nio-0.0.0.0-8080-exec-10] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 00:10:19] GET /api/teams/2/players | Status: 200 | Duration: 9ms
2025-09-17 00:10:19.512 [http-nio-0.0.0.0-8080-exec-10] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 00:10:19] Body: [Response body too large - 1039 chars]
2025-09-17 00:10:23.499 [http-nio-0.0.0.0-8080-exec-9] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Request][2025-09-17 00:10:23] GET /api/teams/3/players | Headers: host=192.168.1.6:8080, connection=keep-alive, accept=application/json, text/plain, */*, user-agent=Expo/1017754 CFNetwork/3826.500.111.2.2 Darwin/24.4.0, accept-language=en-GB,en-US;q=0.9,en;q=0.8, accept-encoding=gzip, deflate
2025-09-17 00:10:23.508 [http-nio-0.0.0.0-8080-exec-9] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 00:10:23] GET /api/teams/3/players | Status: 200 | Duration: 9ms
2025-09-17 00:10:23.508 [http-nio-0.0.0.0-8080-exec-9] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 00:10:23] Body: [Response body too large - 1782 chars]
2025-09-17 00:30:57.995 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=19m48s702ms).
2025-09-17 00:46:29.526 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m31s533ms).
2025-09-17 01:02:00.053 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m30s527ms).
